id,date,speed,around_holiday,holiday,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,uvIndex,visibility,Clear,Drizzle,Drizzle and Dangerously Windy,Drizzle and Humid,Drizzle and Windy,Foggy,Heavy Rain,Heavy Rain and Dangerously Windy,Heavy Rain and Humid,Heavy Rain and Windy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Light Rain and Windy,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Dangerously Windy,Rain and Humid,Rain and Windy,Windy,Windy and Humid,Windy and Partly Cloudy
0,1/1/2017 0:00,43.00293016,False,True,18.07,18.07,7.59,0.5,4.4,96.0,0.0,10.003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1/1/2017 1:00,46.11869568,False,True,17.82,17.82,7.55,0.51,5.83,98.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1/1/2017 2:00,44.29415804,False,True,17.89,17.89,11.64,0.67,5.35,85.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1/1/2017 3:00,41.06746764,False,True,17.45,17.45,7.1,0.51,6.54,128.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1/1/2017 4:00,46.44865313,False,True,17.45,17.45,7.49,0.52,6.93,95.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1/1/2017 5:00,46.79776582,False,True,17.69,17.69,11.42,0.67,6.35,78.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1/1/2017 6:00,44.4049252,False,True,17.43,17.43,7.13,0.51,7.87,127.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1/1/2017 7:00,45.25589692,False,True,17.82,17.82,7.27,0.5,6.19,94.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1/1/2017 8:00,45.68085866,False,True,17.85,17.85,7.63,0.51,6.08,91.0,0.0,12.345999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1/1/2017 9:00,48.43567634,False,True,17.85,17.85,7.56,0.51,6.54,91.0,1.0,12.345999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1/1/2017 10:00,49.4570539,False,True,18.44,18.44,7.72,0.5,5.02,95.0,3.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1/1/2017 11:00,41.968518599999996,False,True,18.84,18.84,7.76,0.49,5.53,99.0,4.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1/1/2017 12:00,42.72473472,False,True,18.94,18.94,7.98,0.49,3.52,104.0,4.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1/1/2017 13:00,47.93645857,False,True,20.3,20.3,6.14,0.4,2.58,106.0,4.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1/1/2017 14:00,45.97188063,False,True,20.87,20.87,4.66,0.35,3.29,88.0,4.0,9.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1/1/2017 15:00,41.35986149,False,True,20.92,20.92,0.72,0.26,3.81,81.0,2.0,9.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,1/1/2017 16:00,43.86803313,False,True,20.38,20.38,-1.39,0.23,3.07,91.0,1.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,1/1/2017 17:00,47.61554073,False,True,20.13,20.13,-5.87,0.17,3.63,90.0,0.0,10.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
