date,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,visibility
01/01/2017 00:00,Clear,0.0,0.0,18.07,18.07,7.59,0.5,4.4,6.58,96,0,10.003
01/01/2017 01:00,Partly Cloudy,0.0,0.0,17.82,17.82,7.55,0.51,5.83,7.29,98,0,10.003
01/01/2017 02:00,Partly Cloudy,0.0,0.0,17.89,17.89,11.64,0.67,5.35,7.32,85,0,10.003
01/01/2017 03:00,Partly Cloudy,0.0,0.0,17.45,17.45,7.1,0.51,6.54,8.25,128,0,10.003
01/01/2017 04:00,Partly Cloudy,0.0,0.0,17.45,17.45,7.49,0.52,6.93,8.89,95,0,10.003
01/01/2017 05:00,Partly Cloudy,0.0,0.0,17.69,17.69,11.42,0.67,6.35,9.39,78,0,10.003
01/01/2017 06:00,Partly Cloudy,0.0,0.0,17.43,17.43,7.13,0.51,7.87,10.06,127,0,10.003
01/01/2017 07:00,Partly Cloudy,0.0,0.0,17.82,17.82,7.27,0.5,6.19,9.14,94,0,10.003
01/01/2017 08:00,Partly Cloudy,0.0,0.0,17.85,17.85,7.63,0.51,6.08,8.5,91,0,12.346
01/01/2017 09:00,Partly Cloudy,0.0,0.0,17.85,17.85,7.56,0.51,6.54,8.19,91,1,12.346
01/01/2017 10:00,Partly Cloudy,0.0,0.0,18.44,18.44,7.72,0.5,5.02,7.96,95,3,10.003
01/01/2017 11:00,Partly Cloudy,0.0,0.0,18.84,18.84,7.76,0.49,5.53,6.54,99,4,10.003
01/01/2017 12:00,Partly Cloudy,0.0,0.0,18.94,18.94,7.98,0.49,3.52,4.27,104,4,10.003
01/01/2017 13:00,Partly Cloudy,0.0,0.0,20.3,20.3,6.14,0.4,2.58,3.84,106,4,10.003
01/01/2017 14:00,Possible Drizzle,0.0724,0.44,20.87,20.87,4.66,0.35,3.29,3.29,88,4,9.602
01/01/2017 15:00,Possible Drizzle,0.0379,0.44,20.92,20.92,0.72,0.26,3.81,3.86,81,2,9.602
01/01/2017 16:00,Partly Cloudy,0.0,0.0,20.38,20.38,-1.39,0.23,3.07,3.44,91,1,10.003
01/01/2017 17:00,Partly Cloudy,0.0,0.0,20.13,20.13,-5.87,0.17,3.63,4.63,90,0,10.003
01/01/2017 18:00,Partly Cloudy,0.0,0.0,19.9,19.9,-5.86,0.17,4.46,5.74,89,0,10.003
01/01/2017 19:00,Partly Cloudy,0.0,0.0,19.68,19.77,15.99,0.79,3.48,4.65,85,0,10.003
01/01/2017 20:00,Partly Cloudy,0.0,0.0,19.67,19.78,16.15,0.8,3.61,4.86,86,0,11.577
01/01/2017 21:00,Clear,0.0,0.0,19.91,20.07,16.6,0.81,4.54,6.85,125,0,12.346
01/01/2017 22:00,Clear,0.0,0.0,19.28,19.28,1.75,0.31,4.17,5.97,88,0,10.003
01/01/2017 23:00,Clear,0.0,0.0,18.83,18.83,2.91,0.35,3.94,5.53,95,0,10.003
02/01/2017 00:00,Clear,0,0,18.6,18.6,4.32,0.39,4.79,5.76,98,0,10.003
02/01/2017 01:00,Clear,0,0,18.89,18.89,1.6,0.31,4.76,5.58,86,0,10.003
02/01/2017 02:00,Clear,0,0,18.31,18.31,5.84,0.44,5.47,7.33,87,0,10.003
02/01/2017 03:00,Clear,0,0,18.44,18.44,2.03,0.33,4.42,6.03,89,0,8.998
02/01/2017 04:00,Clear,0,0,18.68,18.68,0.03,0.28,4.29,5.33,89,0,10.003
02/01/2017 05:00,Clear,0,0,18.21,18.21,-0.81,0.28,3.16,4.17,85,0,8.998
02/01/2017 06:00,Clear,0,0,17.71,17.71,6.29,0.47,3.88,4.4,88,0,8.005
02/01/2017 07:00,Clear,0,0,17.96,17.96,3.31,0.38,4.22,5.35,86,0,8.998
02/01/2017 08:00,Clear,0,0,18.05,18.05,11.71,0.66,4.2,8.49,83,0,11.575
02/01/2017 09:00,Clear,0,0,19.84,19.84,0.65,0.28,4.39,4.62,79,1,11.575
02/01/2017 10:00,Clear,0,0,21.04,21.04,-3.54,0.19,3.68,4.84,85,3,10.003
02/01/2017 11:00,Clear,0,0,21.92,22.05,16.69,0.72,3.78,6.01,99,4,8.005
02/01/2017 12:00,Clear,0,0,22.59,22.82,17.61,0.73,3.96,5.76,87,5,6.004
02/01/2017 13:00,Clear,0,0,23.51,23.83,18.42,0.73,2.64,3.44,93,5,6.004
02/01/2017 14:00,Clear,0,0,23.02,23.15,16.72,0.68,2.7,2.97,116,4,9.602
02/01/2017 15:00,Clear,0,0,23.22,23.54,18.38,0.74,2.44,2.5,103,3,9.602
02/01/2017 16:00,Clear,0,0,22.36,22.56,17.3,0.73,2.77,3.44,98,1,10.003
02/01/2017 17:00,Clear,0,0,21.84,21.89,15.99,0.69,2.23,4.02,124,0,10.003
02/01/2017 18:00,Clear,0,0,20.79,20.93,16.59,0.77,2.56,3.22,96,0,10.003
02/01/2017 19:00,Clear,0,0,20.56,20.71,16.58,0.78,1.41,1.63,145,0,10.003
02/01/2017 20:00,Clear,0,0,19.21,19.4,16.63,0.85,1.19,3.14,105,0,12.346
02/01/2017 21:00,Clear,0,0,19.94,20.14,16.84,0.82,1.0,1.83,136,0,11.577
02/01/2017 22:00,Clear,0,0,20.19,20.38,16.83,0.81,2.17,2.97,135,0,8.998
02/01/2017 23:00,Clear,0,0,18.69,18.87,16.38,0.86,1.29,4.47,129,0,10.003
03/01/2017 00:00,Clear,0,0,19.96,20.12,16.56,0.81,1.99,2.52,132,0,6.994
03/01/2017 01:00,Clear,0,0,19.79,19.96,16.54,0.82,2.4,2.79,129,0,6.994
03/01/2017 02:00,Clear,0,0,18.1,18.28,16.2,0.89,2.27,3.9,136,0,8.451
03/01/2017 03:00,Clear,0,0,19.65,19.8,16.4,0.82,2.92,3.92,174,0,8.451
03/01/2017 04:00,Clear,0,0,19.4,19.58,16.55,0.84,3.0,3.49,175,0,6.994
03/01/2017 05:00,Clear,0,0,18.13,18.13,9.2,0.56,2.35,5.02,80,0,6.994
03/01/2017 06:00,Clear,0,0,19.63,19.63,2.61,0.32,3.32,5.04,88,0,6.004
03/01/2017 07:00,Clear,0,0,19.38,19.38,4.04,0.36,3.18,4.13,182,0,6.004
03/01/2017 08:00,Clear,0,0,18.65,18.65,10.37,0.59,3.49,4.59,120,0,8.518
03/01/2017 09:00,Clear,0,0,20.97,20.97,3.04,0.31,3.87,5.27,92,1,11.577
03/01/2017 10:00,Clear,0,0,21.64,21.64,3.3,0.3,4.07,6.19,160,3,10.003
03/01/2017 11:00,Clear,0,0,21.29,21.29,12.61,0.58,5.28,6.31,97,4,10.003
03/01/2017 12:00,Clear,0,0,20.83,20.83,7.93,0.43,4.85,6.28,109,5,10.003
03/01/2017 13:00,Clear,0,0,20.59,20.59,5.33,0.37,4.56,5.37,107,5,10.003
03/01/2017 14:00,Clear,0,0,21.68,21.68,11.18,0.51,4.91,5.9,92,4,10.003
03/01/2017 15:00,Clear,0,0,21.56,21.56,1.53,0.27,3.24,4.48,105,3,10.003
03/01/2017 16:00,Clear,0,0,21.56,21.56,-4.32,0.17,4.0,5.17,101,1,10.003
03/01/2017 17:00,Clear,0,0,20.8,20.8,8.4,0.45,4.09,4.56,93,0,10.003
03/01/2017 18:00,Clear,0,0,20.77,20.77,-0.29,0.24,3.02,3.66,159,0,10.003
03/01/2017 19:00,Clear,0,0,20.15,20.15,7.96,0.45,3.08,3.08,154,0,10.003
03/01/2017 20:00,Clear,0,0,19.62,19.62,13.18,0.66,3.59,3.59,106,0,12.346
03/01/2017 21:00,Clear,0,0,19.93,19.93,8.48,0.48,2.54,2.54,144,0,12.346
03/01/2017 22:00,Clear,0,0,19.18,19.18,8.89,0.51,3.93,4.79,99,0,10.003
03/01/2017 23:00,Clear,0,0,18.98,18.98,13.33,0.7,4.03,5.67,90,0,10.003
04/01/2017 00:00,Clear,0,0,19.04,19.04,9.0,0.52,3.46,4.77,98,0,10.003
04/01/2017 01:00,Clear,0,0,18.79,18.79,8.72,0.52,3.86,4.58,99,0,10.003
04/01/2017 02:00,Clear,0,0,18.6,18.6,13.14,0.71,4.11,4.54,80,0,10.003
04/01/2017 03:00,Clear,0,0,18.56,18.56,8.56,0.52,3.44,4.51,149,0,10.003
04/01/2017 04:00,Partly Cloudy,0,0,19.05,19.05,8.99,0.52,3.77,4.3,99,0,10.003
04/01/2017 05:00,Partly Cloudy,0,0,18.26,18.26,12.73,0.7,3.84,4.35,104,0,10.003
04/01/2017 06:00,Partly Cloudy,0,0,18.31,18.31,7.76,0.5,5.32,6.4,165,0,10.003
04/01/2017 07:00,Partly Cloudy,0,0,18.07,18.07,7.73,0.51,7.07,9.39,95,0,10.003
04/01/2017 08:00,Clear,0,0,18.44,18.44,12.65,0.69,5.78,7.55,85,0,11.575
04/01/2017 09:00,Clear,0,0,18.33,18.33,14.24,0.77,3.47,6.43,104,1,11.575
04/01/2017 10:00,Clear,0,0,18.37,18.37,14.39,0.78,2.48,6.24,108,3,10.003
04/01/2017 11:00,Clear,0,0,19.25,19.25,14.45,0.74,3.19,8.18,139,4,10.003
04/01/2017 12:00,Clear,0,0,20.1,20.1,13.29,0.65,3.51,7.77,120,5,10.003
04/01/2017 13:00,Clear,0,0,20.17,20.17,12.29,0.6,3.27,7.24,86,5,10.003
04/01/2017 14:00,Clear,0,0,20.95,20.95,13.05,0.61,3.44,7.54,115,4,10.003
04/01/2017 15:00,Clear,0,0,21.19,21.19,13.07,0.6,4.72,8.32,90,3,10.003
04/01/2017 16:00,Clear,0,0,21.11,21.11,13.73,0.63,3.87,8.24,89,1,10.003
04/01/2017 17:00,Clear,0,0,20.6,20.6,14.13,0.66,3.13,6.91,116,0,10.003
04/01/2017 18:00,Partly Cloudy,0,0,19.55,19.55,13.73,0.69,4.43,6.84,128,0,10.003
04/01/2017 19:00,Partly Cloudy,0,0,19.48,19.48,14.16,0.71,4.0,6.39,110,0,10.003
04/01/2017 20:00,Clear,0,0,18.96,18.96,14.45,0.75,3.11,4.85,98,0,12.346
04/01/2017 21:00,Clear,0,0,19.41,19.41,14.64,0.74,3.82,6.77,92,0,12.346
04/01/2017 22:00,Clear,0,0,19.37,19.37,14.66,0.74,3.24,6.32,73,0,10.003
04/01/2017 23:00,Clear,0,0,19.09,19.09,14.82,0.76,4.01,7.1,70,0,10.003
05/01/2017 00:00,Clear,0,0,19.3,19.3,14.82,0.75,3.57,7.07,88,0,8.998
05/01/2017 01:00,Partly Cloudy,0,0,19.31,19.31,14.77,0.75,3.97,6.85,108,0,10.003
05/01/2017 02:00,Partly Cloudy,0,0,19.02,19.06,15.43,0.8,3.19,5.94,109,0,9.39
05/01/2017 03:00,Partly Cloudy,0,0,18.85,18.85,15.0,0.78,2.8,5.21,70,0,8.169
05/01/2017 04:00,Partly Cloudy,0,0,18.8,18.8,14.9,0.78,2.88,6.36,52,0,10.003
05/01/2017 05:00,Partly Cloudy,0,0,18.99,19.02,15.37,0.8,2.51,7.96,56,0,8.998
05/01/2017 06:00,Partly Cloudy,0,0,19.74,19.74,15.25,0.75,1.63,4.82,122,0,10.003
05/01/2017 07:00,Partly Cloudy,0,0,20.24,20.25,15.42,0.74,1.89,3.88,49,0,10.003
05/01/2017 08:00,Clear,0,0,20.07,20.08,15.46,0.75,2.4,5.64,75,0,11.575
05/01/2017 09:00,Clear,0,0,20.97,20.97,15.08,0.69,1.42,3.65,88,1,11.575
05/01/2017 10:00,Clear,0,0,21.72,21.72,14.82,0.65,2.85,5.23,102,3,10.003
05/01/2017 11:00,Clear,0,0,22.96,22.96,14.92,0.61,1.56,3.88,78,4,10.003
05/01/2017 12:00,Clear,0,0,22.63,22.63,15.5,0.64,2.34,5.3,101,5,8.998
05/01/2017 13:00,Partly Cloudy,0,0,22.18,22.18,15.48,0.66,2.06,5.12,88,4,8.005
05/01/2017 14:00,Partly Cloudy,0,0,21.82,21.88,16.03,0.7,1.95,5.89,92,4,6.004
05/01/2017 15:00,Partly Cloudy,0,0,21.65,21.65,15.5,0.68,1.34,3.72,115,2,10.003
05/01/2017 16:00,Partly Cloudy,0,0,21.67,21.7,15.75,0.69,1.73,4.78,84,1,10.003
05/01/2017 17:00,Partly Cloudy,0,0,21.71,21.74,15.86,0.69,0.86,2.52,38,0,8.005
05/01/2017 18:00,Partly Cloudy,0,0,22.0,22.04,15.87,0.68,0.15,0.15,149,0,8.998
05/01/2017 19:00,Partly Cloudy,0,0,21.96,22.0,15.94,0.69,0.19,0.26,147,0,8.998
05/01/2017 20:00,Clear,0,0,21.5,21.57,16.14,0.72,0.56,1.53,110,0,10.817
05/01/2017 21:00,Clear,0,0,21.86,21.88,15.75,0.68,1.15,3.44,105,0,12.346
05/01/2017 22:00,Clear,0,0,21.42,21.42,14.67,0.65,1.94,3.12,83,0,10.003
05/01/2017 23:00,Clear,0,0,20.49,20.5,15.49,0.73,1.98,3.82,53,0,10.003
06/01/2017 00:00,Clear,0,0,19.96,19.96,15.16,0.74,2.45,4.38,143,0,10.003
06/01/2017 01:00,Clear,0,0,19.91,19.91,15.13,0.74,2.4,4.63,63,0,8.998
06/01/2017 02:00,Clear,0,0,19.46,19.53,15.79,0.79,2.72,6.28,67,0,10.003
06/01/2017 03:00,Clear,0,0,19.91,19.91,15.27,0.75,3.55,6.65,47,0,9.482
06/01/2017 04:00,Clear,0,0,19.5,19.5,14.99,0.75,3.54,6.32,103,0,8.998
06/01/2017 05:00,Clear,0,0,19.1,19.17,15.68,0.81,3.49,6.54,104,0,10.003
06/01/2017 06:00,Clear,0,0,18.95,18.95,15.14,0.79,4.48,7.58,93,0,6.004
06/01/2017 07:00,Clear,0,0,19.31,19.41,15.95,0.81,2.63,4.63,126,0,4.695
06/01/2017 08:00,Clear,0,0,19.63,19.76,16.25,0.81,2.97,6.7,80,0,9.521
06/01/2017 09:00,Clear,0,0,20.56,20.57,15.54,0.73,2.82,5.84,78,1,9.521
06/01/2017 10:00,Clear,0,0,21.21,21.21,14.92,0.67,3.49,6.31,83,3,6.004
06/01/2017 11:00,Clear,0,0,23.1,23.15,16.08,0.65,1.33,4.6,55,4,5.002
06/01/2017 12:00,Clear,0,0,24.3,24.3,14.66,0.55,1.43,4.55,117,5,3.5
06/01/2017 13:00,Clear,0,0,24.71,24.71,14.98,0.55,0.66,3.0,208,5,3.701
06/01/2017 14:00,Clear,0,0,24.63,24.63,15.43,0.57,2.05,5.01,95,4,9.285
06/01/2017 15:00,Clear,0,0,23.78,23.78,14.51,0.56,2.19,5.3,37,3,10.043
06/01/2017 16:00,Clear,0,0,22.78,22.78,14.53,0.6,1.87,5.68,141,1,8.005
06/01/2017 17:00,Clear,0,0,22.66,22.66,15.2,0.63,2.23,4.39,200,0,6.004
06/01/2017 18:00,Clear,0,0,21.12,21.12,14.73,0.67,2.27,4.83,126,0,10.003
06/01/2017 19:00,Clear,0,0,20.63,20.63,15.23,0.71,2.69,5.72,83,0,10.003
06/01/2017 20:00,Clear,0,0,20.13,20.17,15.63,0.75,2.77,5.64,93,0,12.346
06/01/2017 21:00,Clear,0,0,20.05,20.06,15.43,0.75,1.7,4.66,42,0,11.577
06/01/2017 22:00,Clear,0,0,19.95,20.08,16.35,0.8,1.7,4.73,76,0,8.005
06/01/2017 23:00,Clear,0,0,19.47,19.64,16.5,0.83,2.21,5.79,105,0,8.998
07/01/2017 00:00,Clear,0,0,19.55,19.55,14.83,0.74,2.31,5.94,121,0,8.998
07/01/2017 01:00,Clear,0,0,19.37,19.48,16.05,0.81,3.19,7.43,93,0,8.005
07/01/2017 02:00,Clear,0,0,18.99,19.11,16.02,0.83,3.71,7.05,115,0,10.679
07/01/2017 03:00,Clear,0,0,19.34,19.44,15.99,0.81,2.87,6.68,74,0,10.679
07/01/2017 04:00,Clear,0,0,18.89,18.93,15.45,0.8,2.69,7.24,83,0,8.998
07/01/2017 05:00,Clear,0,0,18.92,19.02,15.9,0.83,4.75,8.24,62,0,10.003
07/01/2017 06:00,Clear,0,0,18.84,18.85,15.16,0.79,5.96,9.56,119,0,10.003
07/01/2017 07:00,Clear,0,0,18.79,18.81,15.21,0.8,4.3,8.52,83,0,10.003
07/01/2017 08:00,Clear,0,0,18.94,19.0,15.55,0.81,4.43,8.59,78,0,14.86
07/01/2017 09:00,Clear,0,0,19.46,19.46,15.25,0.77,4.74,7.94,91,1,14.86
07/01/2017 10:00,Clear,0,0,20.0,20.02,15.43,0.75,4.3,7.17,76,3,10.003
